Price,Brand_name,5G,RAM,ROM,Front_camera,Processor_name,Back_camera_sum
63999,Google,0,12,128,108,Others,110
7470,Others,0,4,64,8,Others,21
6509,Others,0,3,64,8,Mediatek,21
9999,OPPO,0,4,64,5,Mediatek,10
9999,OPPO,0,4,64,5,Mediatek,10
9375,REDMI,0,6,128,5,Mediatek,50
14498,Samsung,1,4,64,13,Others,52
24499,Samsung,1,8,128,13,Mediatek,61
82999,Google,0,8,256,105,Others,62
48900,Apple,0,4,128,12,Bionic,24
12999,Infinix,1,6,128,8,Mediatek,50
12999,Infinix,1,6,128,8,Mediatek,50
10999,REDMI,0,6,64,13,Snapdragon,60
106999,Google,0,12,128,105,Others,146
5874,Others,0,3,32,0,Others,13
14999,POCO,0,6,64,20,Snapdragon,81
69999,Samsung,1,8,256,12,Snapdragon,72
32975,Others,0,8,128,0,Others,50
106999,Google,0,12,128,105,Others,146
22499,Samsung,1,8,256,13,Mediatek,57
6968,Others,0,4,128,8,Others,50
6967,Others,0,4,128,8,Others,50
37499,Samsung,1,8,256,32,Others,67
45999,Samsung,1,8,128,10,Snapdragon,24
139999,Samsung,1,12,512,12,Snapdragon,272
39999,OPPO,1,12,256,32,Mediatek,90
13149,Others,0,8,256,32,Mediatek,66
6199,Infinix,0,2,64,5,Others,8
6199,Infinix,0,2,64,5,Others,8
9998,vivo,0,3,64,5,Mediatek,15
21395,OnePlus,1,8,128,0,Others,64
11499,REDMI,0,8,256,8,Mediatek,50
17999,OPPO,1,8,128,8,Others,52
7495,Others,0,8,128,8,Others,50
9990,vivo,0,3,32,5,Mediatek,15
45999,Samsung,1,8,128,10,Snapdragon,24
48900,Apple,0,4,128,12,Bionic,24
148900,Apple,0,4,256,12,Bionic,72
13980,REDMI,1,4,128,0,Others,50
64998,OnePlus,1,12,256,0,Others,64
63999,Google,0,12,128,108,Others,110
10379,vivo,0,4,64,0,Others,13
7367,Others,0,4,128,0,Others,13
13999,Motorola,0,6,128,16,Snapdragon,60
7449,Others,0,4,64,55,Mediatek,26
11999,vivo,0,6,128,8,Mediatek,52
24499,Samsung,1,8,128,13,Mediatek,61
59900,Apple,0,4,64,12,Bionic,24
127990,Apple,0,4,128,12,Bionic,72
10999,vivo,0,3,64,5,Mediatek,15
10999,vivo,0,4,128,5,Mediatek,15
10999,vivo,0,4,128,5,Mediatek,15
86999,Apple,0,4,512,12,Bionic,24
11499,vivo,0,4,128,8,Mediatek,52
10499,vivo,0,4,64,8,Mediatek,52
12999,OPPO,0,6,128,8,Mediatek,52
10499,vivo,0,4,64,8,Mediatek,52
7499,Others,0,4,128,8,Others,50
17999,POCO,0,8,128,16,Mediatek,74
7299,Others,0,0,64,8,Others,13
63999,Google,0,12,128,108,Others,110
5508,Others,0,2,32,5,Others,13
11499,vivo,0,4,128,8,Mediatek,52
13935,vivo,0,8,128,16,Mediatek,54
27999,REDMI,1,8,256,16,Mediatek,210
5508,Others,0,2,32,2,Others,8
